House number,listing_id,city,address,property_type,price,total_square_ft,above_square_ft,bed,bath,list_date,hoa
49,IR966480,Berthoud,2009 Cuda Court,Residential,"$1,093,000","4,039","2,119",5,4,05/24/2022,Yes
50,3008184,Arvada,6205 Janice Way,Residential,"$729,900","2,030","1,015",3,2,05/28/2022,No
51,8556225,Erie,953 Compass Drive,Residential,"$1,595,000","7,003","4,609",4,4,05/28/2022,Yes
52,1701134,Colorado Springs,6163 Wolf Village Drive,Residential,"$699,900","3,709","1,875",4,3,05/28/2022,Yes
53,7585300,Trinidad,000 Colorado Mountain Estates,Land,"$85,000",,,,,05/28/2022,No
54,4868263,Lakewood,12485 W Virgina Avenue Unit# 4,Residential Lease,$990,"1,736","1,736",1,1,05/28/2022,
55,7126324,Denver,6918 E Lowry Boulevard Unit# F1 P8,Residential,"$1,246,310","2,340","2,340",2,4,05/28/2022,Yes
56,9215318,Aurora,10722 E Exposition Avenue Unit# 215,Residential,"$164,900",761,761,2,1,05/28/2022,Yes
57,7431229,Colorado Springs,3240 Lally Rook Court,Residential Lease,"$2,195","1,165",950,3,2,05/28/2022,
58,4197959,Idaho Springs,152 Hillside Road,Residential,"$395,000",800,800,2,1,05/28/2022,Yes
59,7720210,Peyton,10243 Capital Peak Way,Residential,"$539,900","3,818","3,818",3,2,05/28/2022,No
60,4535822,Denver,1008 N Corona Street Unit# 605,Residential,"$324,900",589,589,1,1,05/28/2022,Yes
61,6474384,Evergreen,29962 Spruce Road,Residential,"$650,000","1,965","1,965",3,2,05/28/2022,No
62,6171183,Severance,806 Elias Tarn Drive,Residential,"$581,955","2,718","2,718",5,3,05/28/2022,Yes
63,2861880,Bailey,445 Rising Sun Road,Residential,"$550,000","1,728","1,728",3,3,05/28/2022,Yes
64,4935385,Salida,1104 G Street,Residential,"$997,000","2,394","2,394",3,2,05/28/2022,No
65,4492285,Parker,17167 Cornerstone Lane,Residential,"$750,000","3,492","2,465",5,4,05/28/2022,Yes
66,8966304,Littleton,8981 Kittiwake Street,Residential,"$985,000","4,226","3,160",4,4,05/28/2022,Yes
67,3744169,Aurora,1729 Jamaica Street,Residential,"$469,500","1,125","1,125",3,2,05/28/2022,No
